date,shift,gast_no,task_no,task_name
2021-03-08,1,21,8,UDSÆTNINGSGAST_D
2021-03-08,1,38,9,PEJLEGAST_A
2021-03-08,1,22,10,PEJLEGAST_B
2021-03-08,1,28,11,DÆKSELEV_I_KABYS
2021-03-08,2,53,0,VAGTHAVENDE_ELEV
2021-03-08,2,44,1,ORDONNANS
2021-03-08,2,48,2,UDKIG
2021-03-08,2,57,3,BJÆRGEMÆRS
2021-03-08,2,43,4,RORGÆNGER
2021-03-08,2,59,5,UDSÆTNINGSGAST_A
2021-03-08,2,55,6,UDSÆTNINGSGAST_B
2021-03-08,2,47,7,UDSÆTNINGSGAST_C
2021-03-08,2,51,8,UDSÆTNINGSGAST_D
2021-03-08,2,56,9,PEJLEGAST_A
2021-03-08,2,54,10,PEJLEGAST_B
2021-03-08,2,58,11,DÆKSELEV_I_KABYS
2021-03-08,2,41,-1,SICK
2021-03-08,3,10,0,VAGTHAVENDE_ELEV
2021-03-08,3,19,1,ORDONNANS
2021-03-08,3,11,2,UDKIG
2021-03-08,3,14,3,BJÆRGEMÆRS
2021-03-08,3,17,4,RORGÆNGER
2021-03-08,3,15,5,UDSÆTNINGSGAST_A
2021-03-08,3,8,6,UDSÆTNINGSGAST_B
2021-03-08,3,4,7,UDSÆTNINGSGAST_C
2021-03-08,3,1,8,UDSÆTNINGSGAST_D
2021-03-08,3,13,9,PEJLEGAST_A
2021-03-08,3,6,10,PEJLEGAST_B
2021-03-08,3,9,11,DÆKSELEV_I_KABYS
2021-03-08,3,35,-1,SICK
2021-03-08,4,27,0,VAGTHAVENDE_ELEV
2021-03-08,4,35,1,ORDONNANS
2021-03-08,4,20,2,UDKIG
2021-03-08,4,36,3,BJÆRGEMÆRS
2021-03-08,4,38,4,RORGÆNGER
2021-03-08,4,23,5,UDSÆTNINGSGAST_A
2021-03-08,4,24,6,UDSÆTNINGSGAST_B
2021-03-08,4,26,7,UDSÆTNINGSGAST_C
2021-03-08,4,28,8,UDSÆTNINGSGAST_D
2021-03-08,4,37,9,PEJLEGAST_A
2021-03-08,4,22,10,PEJLEGAST_B
2021-03-08,4,25,11,DÆKSELEV_I_KABYS
2021-03-08,5,55,0,VAGTHAVENDE_ELEV
2021-03-08,5,44,1,ORDONNANS
2021-03-08,5,47,2,UDKIG
2021-03-08,5,53,3,BJÆRGEMÆRS
2021-03-08,5,54,4,RORGÆNGER
2021-03-08,5,50,5,UDSÆTNINGSGAST_A
2021-03-08,5,40,6,UDSÆTNINGSGAST_B
2021-03-08,5,46,7,UDSÆTNINGSGAST_C
2021-03-08,5,59,8,UDSÆTNINGSGAST_D
2021-03-08,5,45,9,PEJLEGAST_A
2021-03-08,5,58,10,PEJLEGAST_B
2021-03-08,5,41,11,DÆKSELEV_I_KABYS
2021-03-09,0,14,0,VAGTHAVENDE_ELEV
2021-03-09,0,11,1,ORDONNANS
2021-03-09,0,15,2,UDKIG
2021-03-09,0,19,3,BJÆRGEMÆRS
2021-03-09,0,2,4,RORGÆNGER
2021-03-09,0,9,5,UDSÆTNINGSGAST_A
2021-03-09,0,3,6,UDSÆTNINGSGAST_B
2021-03-09,0,7,7,UDSÆTNINGSGAST_C
2021-03-09,0,6,8,UDSÆTNINGSGAST_D
2021-03-09,0,10,9,PEJLEGAST_A
2021-03-09,0,18,10,PEJLEGAST_B
2021-03-09,0,13,11,DÆKSELEV_I_KABYS
2021-03-09,0,51,-1,SICK
2021-03-09,1,36,0,VAGTHAVENDE_ELEV
2021-03-09,1,29,1,ORDONNANS
2021-03-09,1,26,2,UDKIG
2021-03-09,1,32,3,BJÆRGEMÆRS
2021-03-09,1,38,4,RORGÆNGER
2021-03-09,1,34,5,UDSÆTNINGSGAST_A
2021-03-09,1,20,6,UDSÆTNINGSGAST_B
2021-03-09,1,39,7,UDSÆTNINGSGAST_C
2021-03-09,1,33,8,UDSÆTNINGSGAST_D
2021-03-09,1,31,9,PEJLEGAST_A
2021-03-09,1,30,10,PEJLEGAST_B
2021-03-09,1,35,11,DÆKSELEV_I_KABYS
2021-03-09,2,55,0,VAGTHAVENDE_ELEV
2021-03-09,2,59,1,ORDONNANS
2021-03-09,2,57,2,UDKIG
2021-03-09,2,41,3,BJÆRGEMÆRS
2021-03-09,2,46,4,RORGÆNGER
2021-03-09,2,58,5,UDSÆTNINGSGAST_A
2021-03-09,2,48,6,UDSÆTNINGSGAST_B
2021-03-09,2,53,7,UDSÆTNINGSGAST_C
2021-03-09,2,40,8,UDSÆTNINGSGAST_D
2021-03-09,2,56,9,PEJLEGAST_A
2021-03-09,2,42,10,PEJLEGAST_B
2021-03-09,2,43,11,DÆKSELEV_I_KABYS
2021-03-09,3,14,0,VAGTHAVENDE_ELEV
2021-03-09,3,15,1,ORDONNANS
2021-03-09,3,13,2,UDKIG
2021-03-09,3,8,3,BJÆRGEMÆRS
2021-03-09,3,16,4,RORGÆNGER
2021-03-09,3,11,5,UDSÆTNINGSGAST_A
2021-03-09,3,18,6,UDSÆTNINGSGAST_B
2021-03-09,3,17,7,UDSÆTNINGSGAST_C
2021-03-09,3,6,8,UDSÆTNINGSGAST_D
2021-03-09,3,4,9,PEJLEGAST_A
2021-03-09,3,9,10,PEJLEGAST_B
2021-03-09,3,7,11,DÆKSELEV_I_KABYS
2021-03-09,3,36,-1,SICK
2021-03-09,4,35,0,VAGTHAVENDE_ELEV
2021-03-09,4,33,1,ORDONNANS
2021-03-09,4,29,2,UDKIG
2021-03-09,4,37,3,BJÆRGEMÆRS
2021-03-09,4,21,4,RORGÆNGER
2021-03-09,4,31,5,UDSÆTNINGSGAST_A
2021-03-09,4,23,6,UDSÆTNINGSGAST_B
2021-03-09,4,32,7,UDSÆTNINGSGAST_C
2021-03-09,4,39,8,UDSÆTNINGSGAST_D
2021-03-09,4,20,9,PEJLEGAST_A
2021-03-09,4,22,10,PEJLEGAST_B
2021-03-09,4,26,11,DÆKSELEV_I_KABYS
2021-03-09,5,58,0,VAGTHAVENDE_ELEV
2021-03-09,5,49,1,ORDONNANS
2021-03-09,5,46,2,UDKIG
2021-03-09,5,54,3,BJÆRGEMÆRS
2021-03-09,5,55,4,RORGÆNGER
2021-03-09,5,50,5,UDSÆTNINGSGAST_A
2021-03-09,5,43,6,UDSÆTNINGSGAST_B
2021-03-09,5,52,7,UDSÆTNINGSGAST_C
2021-03-09,5,44,8,UDSÆTNINGSGAST_D
2021-03-09,5,59,9,PEJLEGAST_A
2021-03-09,5,53,10,PEJLEGAST_B
2021-03-09,5,57,11,DÆKSELEV_I_KABYS
2021-03-10,0,14,0,VAGTHAVENDE_ELEV
2021-03-10,0,16,1,ORDONNANS
2021-03-10,0,18,2,UDKIG
2021-03-10,0,4,3,BJÆRGEMÆRS
2021-03-10,0,15,4,RORGÆNGER
2021-03-10,0,10,5,UDSÆTNINGSGAST_A
2021-03-10,0,11,6,UDSÆTNINGSGAST_B
2021-03-10,0,0,7,UDSÆTNINGSGAST_C
2021-03-10,0,5,8,UDSÆTNINGSGAST_D
2021-03-10,0,2,9,PEJLEGAST_A
2021-03-10,0,17,10,PEJLEGAST_B
2021-03-10,0,6,11,DÆKSELEV_I_KABYS
2021-03-10,1,28,0,VAGTHAVENDE_ELEV
2021-03-10,1,31,1,ORDONNANS
2021-03-10,1,29,2,UDKIG
2021-03-10,1,20,3,BJÆRGEMÆRS
2021-03-10,1,24,4,RORGÆNGER
2021-03-10,1,23,5,UDSÆTNINGSGAST_A
2021-03-10,1,39,6,UDSÆTNINGSGAST_B
2021-03-10,1,36,7,UDSÆTNINGSGAST_C
2021-03-10,1,30,8,UDSÆTNINGSGAST_D
2021-03-10,1,34,9,PEJLEGAST_A
2021-03-10,1,38,10,PEJLEGAST_B
2021-03-10,1,32,11,DÆKSELEV_I_KABYS
2021-03-10,2,51,0,VAGTHAVENDE_ELEV
2021-03-10,2,54,1,ORDONNANS
2021-03-10,2,52,2,UDKIG
2021-03-10,2,47,3,BJÆRGEMÆRS
2021-03-10,2,48,4,RORGÆNGER
2021-03-10,2,53,5,UDSÆTNINGSGAST_A
2021-03-10,2,55,6,UDSÆTNINGSGAST_B
2021-03-10,2,42,7,UDSÆTNINGSGAST_C
2021-03-10,2,56,8,UDSÆTNINGSGAST_D
2021-03-10,2,49,9,PEJLEGAST_A
2021-03-10,2,41,10,PEJLEGAST_B
2021-03-10,2,58,11,DÆKSELEV_I_KABYS
2021-03-10,3,6,0,VAGTHAVENDE_ELEV
2021-03-10,3,5,1,ORDONNANS
2021-03-10,3,0,2,UDKIG
2021-03-10,3,16,3,BJÆRGEMÆRS
2021-03-10,3,8,4,RORGÆNGER
2021-03-10,3,15,5,UDSÆTNINGSGAST_A
2021-03-10,3,17,6,UDSÆTNINGSGAST_B
2021-03-10,3,13,7,UDSÆTNINGSGAST_C
2021-03-10,3,9,8,UDSÆTNINGSGAST_D
2021-03-10,3,2,9,PEJLEGAST_A
2021-03-10,3,10,10,PEJLEGAST_B
2021-03-10,3,1,11,DÆKSELEV_I_KABYS
2021-03-10,4,24,0,VAGTHAVENDE_ELEV
2021-03-10,4,28,1,ORDONNANS
2021-03-10,4,34,2,UDKIG
2021-03-10,4,36,3,BJÆRGEMÆRS
2021-03-10,4,22,4,RORGÆNGER
2021-03-10,4,23,5,UDSÆTNINGSGAST_A
2021-03-10,4,32,6,UDSÆTNINGSGAST_B
2021-03-10,4,20,7,UDSÆTNINGSGAST_C
2021-03-10,4,21,8,UDSÆTNINGSGAST_D
2021-03-10,4,35,9,PEJLEGAST_A
2021-03-10,4,33,10,PEJLEGAST_B
2021-03-10,4,31,11,DÆKSELEV_I_KABYS
2021-03-10,5,54,0,VAGTHAVENDE_ELEV
2021-03-10,5,51,1,ORDONNANS
2021-03-10,5,43,2,UDKIG
2021-03-10,5,53,3,BJÆRGEMÆRS
2021-03-10,5,41,4,RORGÆNGER
2021-03-10,5,58,5,UDSÆTNINGSGAST_A
2021-03-10,5,44,6,UDSÆTNINGSGAST_B
2021-03-10,5,50,7,UDSÆTNINGSGAST_C
2021-03-10,5,40,8,UDSÆTNINGSGAST_D
2021-03-10,5,46,9,PEJLEGAST_A
2021-03-10,5,55,10,PEJLEGAST_B
2021-03-10,5,57,11,DÆKSELEV_I_KABYS
2021-03-11,0,10,0,VAGTHAVENDE_ELEV
2021-03-11,0,6,1,ORDONNANS
2021-03-11,0,5,2,UDKIG
2021-03-11,0,17,3,BJÆRGEMÆRS
2021-03-11,0,2,4,RORGÆNGER
2021-03-11,0,19,5,UDSÆTNINGSGAST_A
2021-03-11,0,1,6,UDSÆTNINGSGAST_B
2021-03-11,0,12,7,UDSÆTNINGSGAST_C
2021-03-11,0,11,8,UDSÆTNINGSGAST_D
2021-03-11,0,3,9,PEJLEGAST_A
2021-03-11,0,9,10,PEJLEGAST_B
2021-03-11,0,13,11,DÆKSELEV_I_KABYS
2021-03-11,1,36,0,VAGTHAVENDE_ELEV
2021-03-11,1,29,1,ORDONNANS
2021-03-11,1,37,2,UDKIG
2021-03-11,1,28,3,BJÆRGEMÆRS
2021-03-11,1,24,4,RORGÆNGER
2021-03-11,1,23,5,UDSÆTNINGSGAST_A
2021-03-11,1,34,6,UDSÆTNINGSGAST_B
2021-03-11,1,27,7,UDSÆTNINGSGAST_C
2021-03-11,1,39,8,UDSÆTNINGSGAST_D
2021-03-11,1,22,9,PEJLEGAST_A
2021-03-11,1,32,10,PEJLEGAST_B
2021-03-11,1,31,11,DÆKSELEV_I_KABYS
2021-03-11,2,51,0,VAGTHAVENDE_ELEV
2021-03-11,2,49,1,ORDONNANS
2021-03-11,2,42,2,UDKIG
2021-03-11,2,41,3,BJÆRGEMÆRS
2021-03-11,2,44,4,RORGÆNGER
2021-03-11,2,53,5,UDSÆTNINGSGAST_A
2021-03-11,2,58,6,UDSÆTNINGSGAST_B
2021-03-11,2,52,7,UDSÆTNINGSGAST_C
2021-03-11,2,47,8,UDSÆTNINGSGAST_D
2021-03-11,2,59,9,PEJLEGAST_A
2021-03-11,2,45,10,PEJLEGAST_B
2021-03-11,2,54,11,DÆKSELEV_I_KABYS
2021-03-11,3,19,0,VAGTHAVENDE_ELEV
2021-03-11,3,8,1,ORDONNANS
2021-03-11,3,6,2,UDKIG
2021-03-11,3,4,3,BJÆRGEMÆRS
2021-03-11,3,11,4,RORGÆNGER
2021-03-11,3,9,5,UDSÆTNINGSGAST_A
2021-03-11,3,17,6,UDSÆTNINGSGAST_B
2021-03-11,3,3,7,UDSÆTNINGSGAST_C
2021-03-11,3,5,8,UDSÆTNINGSGAST_D
2021-03-11,3,10,9,PEJLEGAST_A
2021-03-11,3,13,10,PEJLEGAST_B
2021-03-11,3,14,11,DÆKSELEV_I_KABYS
2021-03-11,4,27,0,VAGTHAVENDE_ELEV
2021-03-11,4,28,1,ORDONNANS
2021-03-11,4,23,2,UDKIG
2021-03-11,4,35,3,BJÆRGEMÆRS
2021-03-11,4,25,4,RORGÆNGER
2021-03-11,4,32,5,UDSÆTNINGSGAST_A
2021-03-11,4,24,6,UDSÆTNINGSGAST_B
2021-03-11,4,36,7,UDSÆTNINGSGAST_C
2021-03-11,4,34,8,UDSÆTNINGSGAST_D
2021-03-11,4,30,9,PEJLEGAST_A
2021-03-11,4,39,10,PEJLEGAST_B
2021-03-11,4,20,11,DÆKSELEV_I_KABYS
2021-03-11,5,46,0,VAGTHAVENDE_ELEV
2021-03-11,5,57,1,ORDONNANS
2021-03-11,5,53,2,UDKIG
2021-03-11,5,58,3,BJÆRGEMÆRS
2021-03-11,5,48,4,RORGÆNGER
2021-03-11,5,43,5,UDSÆTNINGSGAST_A
2021-03-11,5,50,6,UDSÆTNINGSGAST_B
2021-03-11,5,45,7,UDSÆTNINGSGAST_C
2021-03-11,5,49,8,UDSÆTNINGSGAST_D
2021-03-11,5,52,9,PEJLEGAST_A
2021-03-11,5,55,10,PEJLEGAST_B
2021-03-11,5,41,11,DÆKSELEV_I_KABYS
2021-03-12,0,5,0,VAGTHAVENDE_ELEV
2021-03-12,0,13,1,ORDONNANS
2021-03-12,0,7,2,UDKIG
2021-03-12,0,10,3,BJÆRGEMÆRS
2021-03-12,0,16,4,RORGÆNGER
2021-03-12,0,12,5,UDSÆTNINGSGAST_A
2021-03-12,0,14,6,UDSÆTNINGSGAST_B
2021-03-12,0,8,7,UDSÆTNINGSGAST_C
2021-03-12,0,1,8,UDSÆTNINGSGAST_D
2021-03-12,0,3,9,PEJLEGAST_A
2021-03-12,0,11,10,PEJLEGAST_B
2021-03-12,0,2,11,DÆKSELEV_I_KABYS
2021-03-12,0,30,-1,SICK
2021-03-12,1,26,0,VAGTHAVENDE_ELEV
2021-03-12,1,27,1,ORDONNANS
2021-03-12,1,39,2,UDKIG
2021-03-12,1,34,3,BJÆRGEMÆRS
2021-03-12,1,30,4,RORGÆNGER
2021-03-12,1,32,5,UDSÆTNINGSGAST_A
2021-03-12,1,20,6,UDSÆTNINGSGAST_B
2021-03-12,1,29,7,UDSÆTNINGSGAST_C
2021-03-12,1,36,8,UDSÆTNINGSGAST_D
2021-03-12,1,23,9,PEJLEGAST_A
2021-03-12,1,22,10,PEJLEGAST_B
2021-03-12,1,37,11,DÆKSELEV_I_KABYS
2021-03-12,1,2,-1,SICK
2021-03-12,2,50,0,VAGTHAVENDE_ELEV
2021-03-12,2,40,1,ORDONNANS
2021-03-12,2,44,2,UDKIG
2021-03-12,2,59,3,BJÆRGEMÆRS
2021-03-12,2,43,4,RORGÆNGER
2021-03-12,2,54,5,UDSÆTNINGSGAST_A
2021-03-12,2,42,6,UDSÆTNINGSGAST_B
2021-03-12,2,49,7,UDSÆTNINGSGAST_C
2021-03-12,2,45,8,UDSÆTNINGSGAST_D
2021-03-12,2,51,9,PEJLEGAST_A
2021-03-12,2,46,10,PEJLEGAST_B
2021-03-12,2,55,11,DÆKSELEV_I_KABYS
2021-03-12,2,16,-1,SICK
2021-03-12,3,7,0,VAGTHAVENDE_ELEV
2021-03-12,3,6,1,ORDONNANS
2021-03-12,3,2,2,UDKIG
2021-03-12,3,12,3,BJÆRGEMÆRS
2021-03-12,3,13,4,RORGÆNGER
2021-03-12,3,17,5,UDSÆTNINGSGAST_A
2021-03-12,3,11,6,UDSÆTNINGSGAST_B
2021-03-12,3,14,7,UDSÆTNINGSGAST_C
2021-03-12,3,0,8,UDSÆTNINGSGAST_D
2021-03-12,3,15,9,PEJLEGAST_A
2021-03-12,3,16,10,PEJLEGAST_B
2021-03-12,3,8,11,DÆKSELEV_I_KABYS
2021-03-12,4,23,0,VAGTHAVENDE_ELEV
2021-03-12,4,31,1,ORDONNANS
2021-03-12,4,34,2,UDKIG
2021-03-12,4,38,3,BJÆRGEMÆRS
2021-03-12,4,36,4,RORGÆNGER
2021-03-12,4,37,5,UDSÆTNINGSGAST_A
2021-03-12,4,39,6,UDSÆTNINGSGAST_B
2021-03-12,4,24,7,UDSÆTNINGSGAST_C
2021-03-12,4,35,8,UDSÆTNINGSGAST_D
2021-03-12,4,20,9,PEJLEGAST_A
2021-03-12,4,30,10,PEJLEGAST_B
2021-03-12,4,27,11,DÆKSELEV_I_KABYS
2021-03-12,4,21,-1,SICK
2021-03-12,5,49,0,VAGTHAVENDE_ELEV
2021-03-12,5,52,1,ORDONNANS
2021-03-12,5,53,2,UDKIG
2021-03-12,5,54,3,BJÆRGEMÆRS
2021-03-12,5,44,4,RORGÆNGER
2021-03-12,5,48,5,UDSÆTNINGSGAST_A
2021-03-12,5,51,6,UDSÆTNINGSGAST_B
2021-03-12,5,41,7,UDSÆTNINGSGAST_C
2021-03-12,5,45,8,UDSÆTNINGSGAST_D
2021-03-12,5,42,9,PEJLEGAST_A
2021-03-12,5,56,10,PEJLEGAST_B
2021-03-12,5,46,11,DÆKSELEV_I_KABYS
2021-03-13,0,9,0,VAGTHAVENDE_ELEV
2021-03-13,0,17,1,ORDONNANS
2021-03-13,0,3,2,UDKIG
2021-03-13,0,7,3,BJÆRGEMÆRS
2021-03-13,0,5,4,RORGÆNGER
2021-03-13,0,6,5,UDSÆTNINGSGAST_A
2021-03-13,0,15,6,UDSÆTNINGSGAST_B
2021-03-13,0,4,7,UDSÆTNINGSGAST_C
2021-03-13,0,11,8,UDSÆTNINGSGAST_D
2021-03-13,0,8,9,PEJLEGAST_A
2021-03-13,0,1,10,PEJLEGAST_B
2021-03-13,0,14,11,DÆKSELEV_I_KABYS
2021-03-13,0,46,-1,SICK
2021-03-13,1,28,0,VAGTHAVENDE_ELEV
2021-03-13,1,20,1,ORDONNANS
2021-03-13,1,38,2,UDKIG
2021-03-13,1,37,3,BJÆRGEMÆRS
2021-03-13,1,39,4,RORGÆNGER
2021-03-13,1,33,5,UDSÆTNINGSGAST_A
2021-03-13,1,30,6,UDSÆTNINGSGAST_B
2021-03-13,1,23,7,UDSÆTNINGSGAST_C
2021-03-13,1,34,8,UDSÆTNINGSGAST_D
2021-03-13,1,25,9,PEJLEGAST_A
2021-03-13,1,35,10,PEJLEGAST_B
2021-03-13,1,32,11,DÆKSELEV_I_KABYS
2021-03-13,2,52,0,VAGTHAVENDE_ELEV
2021-03-13,2,43,1,ORDONNANS
2021-03-13,2,55,2,UDKIG
2021-03-13,2,41,3,BJÆRGEMÆRS
2021-03-13,2,58,4,RORGÆNGER
2021-03-13,2,48,5,UDSÆTNINGSGAST_A
2021-03-13,2,45,6,UDSÆTNINGSGAST_B
2021-03-13,2,50,7,UDSÆTNINGSGAST_C
2021-03-13,2,46,8,UDSÆTNINGSGAST_D
2021-03-13,2,40,9,PEJLEGAST_A
2021-03-13,2,44,10,PEJLEGAST_B
2021-03-13,2,57,11,DÆKSELEV_I_KABYS
2021-03-13,3,3,0,VAGTHAVENDE_ELEV
2021-03-13,3,7,1,ORDONNANS
2021-03-13,3,1,2,UDKIG
2021-03-13,3,2,3,BJÆRGEMÆRS
2021-03-13,3,13,4,RORGÆNGER
2021-03-13,3,10,5,UDSÆTNINGSGAST_A
2021-03-13,3,19,6,UDSÆTNINGSGAST_B
2021-03-13,3,11,7,UDSÆTNINGSGAST_C
2021-03-13,3,18,8,UDSÆTNINGSGAST_D
2021-03-13,3,5,9,PEJLEGAST_A
2021-03-13,3,4,10,PEJLEGAST_B
2021-03-13,3,16,11,DÆKSELEV_I_KABYS
2021-03-13,4,32,0,VAGTHAVENDE_ELEV
2021-03-13,4,35,1,ORDONNANS
2021-03-13,4,28,2,UDKIG
2021-03-13,4,25,3,BJÆRGEMÆRS
2021-03-13,4,34,4,RORGÆNGER
2021-03-13,4,23,5,UDSÆTNINGSGAST_A
2021-03-13,4,30,6,UDSÆTNINGSGAST_B
2021-03-13,4,36,7,UDSÆTNINGSGAST_C
2021-03-13,4,24,8,UDSÆTNINGSGAST_D
2021-03-13,4,31,9,PEJLEGAST_A
2021-03-13,4,21,10,PEJLEGAST_B
2021-03-13,4,39,11,DÆKSELEV_I_KABYS
2021-03-13,5,43,0,VAGTHAVENDE_ELEV
2021-03-13,5,58,1,ORDONNANS
2021-03-13,5,53,2,UDKIG
2021-03-13,5,48,3,BJÆRGEMÆRS
2021-03-13,5,47,4,RORGÆNGER
2021-03-13,5,44,5,UDSÆTNINGSGAST_A
2021-03-13,5,50,6,UDSÆTNINGSGAST_B
2021-03-13,5,45,7,UDSÆTNINGSGAST_C
2021-03-13,5,56,8,UDSÆTNINGSGAST_D
2021-03-13,5,54,9,PEJLEGAST_A
2021-03-13,5,42,10,PEJLEGAST_B
2021-03-13,5,46,11,DÆKSELEV_I_KABYS
2021-03-14,0,12,0,VAGTHAVENDE_ELEV
2021-03-14,0,14,1,ORDONNANS
2021-03-14,0,1,2,UDKIG
2021-03-14,0,10,3,BJÆRGEMÆRS
2021-03-14,0,2,4,RORGÆNGER
2021-03-14,0,18,5,UDSÆTNINGSGAST_A
2021-03-14,0,5,6,UDSÆTNINGSGAST_B
2021-03-14,0,0,7,UDSÆTNINGSGAST_C
2021-03-14,0,4,8,UDSÆTNINGSGAST_D
2021-03-14,0,3,9,PEJLEGAST_A
2021-03-14,0,6,10,PEJLEGAST_B
2021-03-14,0,19,11,DÆKSELEV_I_KABYS
2021-03-14,1,25,0,VAGTHAVENDE_ELEV
2021-03-14,1,26,1,ORDONNANS
2021-03-14,1,29,2,UDKIG
2021-03-14,1,31,3,BJÆRGEMÆRS
2021-03-14,1,34,4,RORGÆNGER
2021-03-14,1,21,5,UDSÆTNINGSGAST_A
2021-03-14,1,22,6,UDSÆTNINGSGAST_B
2021-03-14,1,30,7,UDSÆTNINGSGAST_C
2021-03-14,1,39,8,UDSÆTNINGSGAST_D
2021-03-14,1,27,9,PEJLEGAST_A
2021-03-14,1,32,10,PEJLEGAST_B
2021-03-14,1,36,11,DÆKSELEV_I_KABYS
2021-03-14,1,49,-1,SICK
2021-03-14,2,54,0,VAGTHAVENDE_ELEV
2021-03-14,2,55,1,ORDONNANS
2021-03-14,2,40,2,UDKIG
2021-03-14,2,42,3,BJÆRGEMÆRS
2021-03-14,2,49,4,RORGÆNGER
2021-03-14,2,45,5,UDSÆTNINGSGAST_A
2021-03-14,2,58,6,UDSÆTNINGSGAST_B
2021-03-14,2,44,7,UDSÆTNINGSGAST_C
2021-03-14,2,51,8,UDSÆTNINGSGAST_D
2021-03-14,2,47,9,PEJLEGAST_A
2021-03-14,2,57,10,PEJLEGAST_B
2021-03-14,2,56,11,DÆKSELEV_I_KABYS
2021-03-14,2,5,-1,SICK
2021-03-14,3,10,0,VAGTHAVENDE_ELEV
2021-03-14,3,11,1,ORDONNANS
2021-03-14,3,15,2,UDKIG
2021-03-14,3,12,3,BJÆRGEMÆRS
2021-03-14,3,9,4,RORGÆNGER
2021-03-14,3,19,5,UDSÆTNINGSGAST_A
2021-03-14,3,3,6,UDSÆTNINGSGAST_B
2021-03-14,3,17,7,UDSÆTNINGSGAST_C
2021-03-14,3,18,8,UDSÆTNINGSGAST_D
2021-03-14,3,0,9,PEJLEGAST_A
2021-03-14,3,6,10,PEJLEGAST_B
2021-03-14,3,14,11,DÆKSELEV_I_KABYS
2021-03-14,3,42,-1,SICK
2021-03-14,4,31,0,VAGTHAVENDE_ELEV
2021-03-14,4,29,1,ORDONNANS
2021-03-14,4,26,2,UDKIG
2021-03-14,4,20,3,BJÆRGEMÆRS
2021-03-14,4,34,4,RORGÆNGER
2021-03-14,4,21,5,UDSÆTNINGSGAST_A
2021-03-14,4,24,6,UDSÆTNINGSGAST_B
2021-03-14,4,33,7,UDSÆTNINGSGAST_C
2021-03-14,4,23,8,UDSÆTNINGSGAST_D
2021-03-14,4,30,9,PEJLEGAST_A
2021-03-14,4,28,10,PEJLEGAST_B
2021-03-14,4,27,11,DÆKSELEV_I_KABYS
2021-03-14,5,52,0,VAGTHAVENDE_ELEV
2021-03-14,5,56,1,ORDONNANS
2021-03-14,5,55,2,UDKIG
2021-03-14,5,40,3,BJÆRGEMÆRS
2021-03-14,5,58,4,RORGÆNGER
2021-03-14,5,45,5,UDSÆTNINGSGAST_A
2021-03-14,5,46,6,UDSÆTNINGSGAST_B
2021-03-14,5,43,7,UDSÆTNINGSGAST_C
2021-03-14,5,53,8,UDSÆTNINGSGAST_D
2021-03-14,5,57,9,PEJLEGAST_A
2021-03-14,5,50,10,PEJLEGAST_B
2021-03-14,5,44,11,DÆKSELEV_I_KABYS
2021-03-14,5,28,-1,SICK
2021-03-15,0,5,0,VAGTHAVENDE_ELEV
2021-03-15,0,6,1,ORDONNANS
2021-03-15,0,3,2,UDKIG
2021-03-15,0,19,3,BJÆRGEMÆRS
2021-03-15,0,17,4,RORGÆNGER
2021-03-15,0,10,5,UDSÆTNINGSGAST_A
2021-03-15,0,14,6,UDSÆTNINGSGAST_B
2021-03-15,0,8,7,UDSÆTNINGSGAST_C
2021-03-15,0,13,8,UDSÆTNINGSGAST_D
2021-03-15,0,11,9,PEJLEGAST_A
2021-03-15,0,9,10,PEJLEGAST_B
2021-03-15,0,2,11,DÆKSELEV_I_KABYS
2021-03-15,0,36,-1,SICK
2021-03-15,1,21,0,VAGTHAVENDE_ELEV
2021-03-15,1,33,1,ORDONNANS
2021-03-15,1,37,2,UDKIG
2021-03-15,1,38,3,BJÆRGEMÆRS
2021-03-15,1,31,4,RORGÆNGER
2021-03-15,1,25,5,UDSÆTNINGSGAST_A
2021-03-15,1,22,6,UDSÆTNINGSGAST_B
2021-03-15,1,26,7,UDSÆTNINGSGAST_C
2021-03-15,1,23,8,UDSÆTNINGSGAST_D
2021-03-15,1,29,9,PEJLEGAST_A
2021-03-15,1,24,10,PEJLEGAST_B
2021-03-15,1,36,11,DÆKSELEV_I_KABYS
2021-03-15,1,18,-1,SICK
2021-03-15,2,48,0,VAGTHAVENDE_ELEV
2021-03-15,2,57,1,ORDONNANS
2021-03-15,2,51,2,UDKIG
2021-03-15,2,40,3,BJÆRGEMÆRS
2021-03-15,2,42,4,RORGÆNGER
2021-03-15,2,45,5,UDSÆTNINGSGAST_A
2021-03-15,2,55,6,UDSÆTNINGSGAST_B
2021-03-15,2,47,7,UDSÆTNINGSGAST_C
2021-03-15,2,56,8,UDSÆTNINGSGAST_D
2021-03-15,2,54,9,PEJLEGAST_A
2021-03-15,2,52,10,PEJLEGAST_B
2021-03-15,2,43,11,DÆKSELEV_I_KABYS
2021-03-15,3,0,0,VAGTHAVENDE_ELEV
2021-03-15,3,14,1,ORDONNANS
2021-03-15,3,11,2,UDKIG
2021-03-15,3,7,3,BJÆRGEMÆRS
2021-03-15,3,18,4,RORGÆNGER
2021-03-15,3,3,5,UDSÆTNINGSGAST_A
2021-03-15,3,16,6,UDSÆTNINGSGAST_B
2021-03-15,3,10,7,UDSÆTNINGSGAST_C
2021-03-15,3,4,8,UDSÆTNINGSGAST_D
2021-03-15,3,19,9,PEJLEGAST_A
